x,y
36.73,38.35
36.73,38.35
36.73,38.35
36.73,38.35
36.73,38.35
36.73,38.35
36.73,38.35
36.73,38.35
36.73,38.35
36.73,38.35
23.09,10.35
23.09,10.35
23.09,10.35
23.09,10.35
23.09,10.35
23.09,10.35
23.09,10.35
23.09,10.35
23.09,10.35
23.09,10.35
19.99,66.95
19.99,66.95
19.99,66.95
19.99,66.95
19.99,66.95
19.99,66.95
19.99,66.95
19.99,66.95
19.99,66.95
19.99,66.95
24.95,48.18
24.95,48.18
24.95,48.18
24.95,48.18
24.95,48.18
24.95,48.18
24.95,48.18
24.95,48.18
24.95,48.18
24.95,48.18
10.88,60.19
10.88,60.19
10.88,60.19
10.88,60.19
10.88,60.19
10.88,60.19
10.88,60.19
10.88,60.19
10.88,60.19
10.88,60.19
18.02,35.91
18.02,35.91
18.02,35.91
18.02,35.91
18.02,35.91
18.02,35.91
18.02,35.91
18.02,35.91
18.02,35.91
18.02,35.91
46.66,52.47
46.66,52.47
46.66,52.47
46.66,52.47
46.66,52.47
46.66,52.47
46.66,52.47
46.66,52.47
46.66,52.47
46.66,52.47
36.74,42.75
36.74,42.75
36.74,42.75
36.74,42.75
36.74,42.75
36.74,42.75
36.74,42.75
36.74,42.75
36.74,42.75
36.74,42.75
12.95,59.56
12.95,59.56
12.95,59.56
12.95,59.56
12.95,59.56
12.95,59.56
12.95,59.56
12.95,59.56
12.95,59.56
12.95,59.56
21.2,58.95
21.2,58.95
21.2,58.95
21.2,58.95
21.2,58.95
21.2,58.95
21.2,58.95
21.2,58.95
21.2,58.95
21.2,58.95
40.97,45.14
40.97,45.14
40.97,45.14
40.97,45.14
40.97,45.14
40.97,45.14
40.97,45.14
40.97,45.14
40.97,45.14
40.97,45.14
16.44,23.61
16.44,23.61
16.44,23.61
16.44,23.61
16.44,23.61
16.44,23.61
16.44,23.61
16.44,23.61
16.44,23.61
16.44,23.61
26.98,20.76
26.98,20.76
26.98,20.76
26.98,20.76
26.98,20.76
26.98,20.76
26.98,20.76
26.98,20.76
26.98,20.76
26.98,20.76
28.71,42.64
28.71,42.64
28.71,42.64
28.71,42.64
28.71,42.64
28.71,42.64
28.71,42.64
28.71,42.64
28.71,42.64
28.71,42.64
30.46,53.04
30.46,53.04
30.46,53.04
30.46,53.04
30.46,53.04
30.46,53.04
30.46,53.04
30.46,53.04
30.46,53.04
30.46,53.04
24.2,41.64
24.2,41.64
24.2,41.64
24.2,41.64
24.2,41.64
24.2,41.64
24.2,41.64
24.2,41.64
24.2,41.64
24.2,41.64
34.89,43.31
34.89,43.31
34.89,43.31
34.89,43.31
34.89,43.31
34.89,43.31
34.89,43.31
34.89,43.31
34.89,43.31
34.89,43.31
30.47,33.45
30.47,33.45
30.47,33.45
30.47,33.45
30.47,33.45
30.47,33.45
30.47,33.45
30.47,33.45
30.47,33.45
30.47,33.45
11.87,28.26
11.87,28.26
11.87,28.26
11.87,28.26
11.87,28.26
11.87,28.26
11.87,28.26
11.87,28.26
11.87,28.26
11.87,28.26
36.56,38.39
36.56,38.39
36.56,38.39
36.56,38.39
36.56,38.39
36.56,38.39
36.56,38.39
36.56,38.39
36.56,38.39
36.56,38.39
33.15,36.35
33.15,36.35
33.15,36.35
33.15,36.35
33.15,36.35
33.15,36.35
33.15,36.35
33.15,36.35
33.15,36.35
33.15,36.35
21.5,45.2
21.5,45.2
21.5,45.2
21.5,45.2
21.5,45.2
21.5,45.2
21.5,45.2
21.5,45.2
21.5,45.2
21.5,45.2
6.61,40.93
6.61,40.93
6.61,40.93
6.61,40.93
6.61,40.93
6.61,40.93
6.61,40.93
6.61,40.93
6.61,40.93
6.61,40.93
30.81,23.87
30.81,23.87
30.81,23.87
30.81,23.87
30.81,23.87
30.81,23.87
30.81,23.87
30.81,23.87
30.81,23.87
30.81,23.87
31.42,14.98
31.42,14.98
31.42,14.98
31.42,14.98
31.42,14.98
31.42,14.98
31.42,14.98
31.42,14.98
31.42,14.98
31.42,14.98
33.5,42.54
33.5,42.54
33.5,42.54
33.5,42.54
33.5,42.54
33.5,42.54
33.5,42.54
33.5,42.54
33.5,42.54
33.5,42.54
21.66,46.77
21.66,46.77
21.66,46.77
21.66,46.77
21.66,46.77
21.66,46.77
21.66,46.77
21.66,46.77
21.66,46.77
21.66,46.77
26.54,70.2
26.54,70.2
26.54,70.2
26.54,70.2
26.54,70.2
26.54,70.2
26.54,70.2
26.54,70.2
26.54,70.2
26.54,70.2
21.92,56.82
21.92,56.82
21.92,56.82
21.92,56.82
21.92,56.82
21.92,56.82
21.92,56.82
21.92,56.82
21.92,56.82
21.92,56.82
28.81,60.09
28.81,60.09
28.81,60.09
28.81,60.09
28.81,60.09
28.81,60.09
28.81,60.09
28.81,60.09
28.81,60.09
28.81,60.09
34.88,37.78
34.88,37.78
34.88,37.78
34.88,37.78
34.88,37.78
34.88,37.78
34.88,37.78
34.88,37.78
34.88,37.78
34.88,37.78
22.27,35.44
22.27,35.44
