loc_x,loc_y,n
264.47,64.48,1
227.41,116.56000000000003,2
37.549999999999955,104.91,2
106.16999999999997,51.6,2
242.23,53.410000000000004,2
14.170000000000016,23.990000000000002,3
155.77,6.590000000000003,2
258.08,109.01999999999998,2
259.40500000000003,16.9425,8
14.009999999999991,51.86,2
24.269999999999982,35.09,2
184.28,44.82,2
130.39,114.35,1
266.0,42.43,2
206.58,28.63,2
243.82,9.440000000000001,3
271.99,31.01,3
138.89,86.82,1
224.17,48.00000000000001,1
229.51,105.31000000000003,2
31.420000000000044,14.98,2
129.22000000000003,47.50000000000001,1
12.950000000000017,59.56000000000001,2
19.059999999999945,45.84,2
202.02,13.109999999999992,2
34.87999999999997,37.78,3
151.78,92.83000000000001,1
39.45000000000002,82.35,1
275.6166666666667,24.493333333333336,8
194.48,92.94,2
250.10000000000002,35.69,1
23.089999999999947,10.350000000000001,2
146.21,4.75,2
203.78,36.973333333333336,5
183.83666666666667,36.17666666666667,6
182.255,20.020000000000003,4
29.165999999999997,42.76400000000001,8
201.34,0.03999999999999915,1
125.22000000000001,64.62,2
198.09,47.34000000000001,2
229.66,49.64,2
144.45,22.04,2
133.26999999999998,1.4000000000000057,1
46.170000000000044,40.54,3
244.49,112.97,1
142.25,108.09,2
52.680000000000035,23.33,2
265.56,99.63999999999999,1
234.76,5.289999999999999,2
27.123333333333278,54.67499999999999,8
188.69,35.33,2
20.722499999999968,39.375,7
233.34,131.57000000000002,2
44.97,72.67,2
262.85,116.75,2
248.7875,4.512499999999999,7
208.77,61.61999999999999,1
154.62,40.73,2
289.6,35.29,2
19.99000000000001,66.95000000000002,3
100.56999999999998,58.52000000000001,2
218.41,39.443333333333335,5
263.694,3.9619999999999997,8
25.460000000000008,133.92,2
237.27,110.62,2
13.329999999999956,44.23,2
162.0575,21.054999999999996,8
14.289999999999964,33.82,2
124.14,97.24000000000001,1
243.96,61.26,3
241.93,27.259999999999998,3
2.900000000000034,59.470000000000006,3
15.859999999999985,30.34,3
252.79999999999998,60.163333333333334,6
206.68,2.1999999999999993,2
26.97999999999999,20.759999999999998,3
259.83,54.29,3
261.485,18.57999999999999,6
35.07999999999993,76.66,2
289.52,41.34,2
239.16,5.789999999999999,2
248.1833333333333,55.77333333333334,4
37.339999999999975,64.25,2
94.31999999999998,48.32,2
30.690000000000026,121.22999999999999,2
263.06,70.55,1
282.83,52.05,1
22.420000000000044,72.97,3
230.14,58.74,2
173.31,41.72,2
20.434999999999974,57.85000000000001,6
34.17666666666665,68.73,6
129.27999999999997,108.88,3
162.13,36.73,1
220.92,109.65,2
26.539999999999964,70.20000000000002,3
136.09000000000003,81.20000000000002,2
231.78,109.00999999999999,2
26.72,5.679999999999989,1
194.89,12.269999999999992,1
36.47,48.61,3
7.440000000000026,26.5,2
15.72999999999999,123.91999999999999,2
149.39,87.92000000000002,2
6.544999999999874,41.0,4
158.42,10.449999999999996,1
29.029999999999973,27.630000000000003,1
289.1,14.470000000000002,3
10.879999999999967,60.19,2
89.78999999999998,43.62,3
183.8,2.1299999999999955,2
202.06,28.985,4
215.45,19.979999999999997,2
205.9,25.08,2
182.28,32.28,2
219.89,49.190000000000005,2
46.24000000000001,32.49,2
134.10000000000002,114.56000000000003,1
165.41,27.006666666666668,7
200.66,21.139999999999993,2
199.02,15.66,3
210.08,4.919999999999998,1
158.06,2.139999999999997,2
265.1,47.78000000000001,3
181.58,22.800000000000004,3
24.196666666666744,40.71333333333333,4
229.96,25.32,2
38.87999999999997,29.47,3
5.129999999999967,49.28000000000001,2
151.62,28.38,2
13.055000000000064,31.375,4
134.97000000000003,4.669999999999998,1
18.72999999999999,64.44,3
19.269999999999982,9.82,1
21.863333333333372,47.89666666666666,5
240.96666666666667,56.26999999999999,6
28.309999999999974,14.589999999999996,3
245.0,59.07666666666667,6
263.19,41.8,1
240.77,98.38999999999999,2
206.62,33.81,2
252.62,38.26,3
206.01,101.76999999999998,2
6.420000000000016,55.02000000000001,1
14.940000000000083,60.423333333333346,4
185.19,42.04,2
224.15,116.71000000000001,3
254.39666666666668,13.453333333333337,5
33.5266666666667,36.656666666666666,6
36.170000000000044,27.43,2
8.529999999999973,43.18,2
242.925,51.544999999999995,4
264.76,68.32,2
278.86,43.53,2
175.46,16.519999999999996,3
230.07,114.57000000000002,1
143.54,5.100000000000001,2
206.46,38.32,2
20.190000000000026,33.66,3
240.59,3.289999999999999,2
261.06,51.57,3
160.76,15.190000000000001,2
201.52,44.8,3
184.16,22.660000000000004,1
183.25,38.48,3
255.89,64.94,2
242.56,46.34,2
221.05,47.160000000000004,2
176.1,34.79,1
44.22999999999999,46.910000000000004,2
12.22999999999999,50.41,1
188.16,33.03,3
282.45,29.53,3
9.539999999999964,62.55,2
30.460000000000008,53.04,2
20.299999999999955,51.01,3
251.065,8.905000000000005,4
173.79,29.9,2
37.559999999999945,52.89,2
183.56,10.810000000000006,2
250.56,49.86,3
249.39,51.989999999999995,3
249.14999999999998,16.900000000000002,2
14.450000000000017,49.05,3
214.18,21.78,2
11.870000000000005,28.26,3
47.930000000000035,54.18,2
28.45999999999998,40.305,5
225.24,28.17,1
15.109999999999985,28.61,2
277.43,37.03,3
245.27,45.32,2
267.7900013486134,6.3600140365632,6
34.889994697591035,43.30999706269432,2
206.7099998142367,47.90999972751303,2
166.709983720055,41.749993910438,5
260.07008002522537,27.969826114245485,3
178.25000004669738,14.390000084157926,2
9.46077108468686,38.063153515831196,5
252.77997965771578,9.249977695096531,3
210.41999943549715,11.070001060010826,2
257.7399689579165,127.98001338020842,3
269.7783036644587,12.720126293867972,8
30.650001925119017,70.23999958016023,2
191.32999746658558,29.48998707355967,3
156.67000070348791,76.39000017919999,1
255.65000088547058,53.979997194538505,3
223.81000131057553,39.329973624666216,4
131.32999553995043,13.730036349404056,3
270.4084001487528,21.890525069330888,8
42.91,21.049999999999997,2
21.66,123.1,1
247.44000499765662,67.7399972190459,3
280.569997275156,16.709993833336426,5
163.29997131226264,15.69006921985221,4
199.19960932565704,38.75982372086595,5
37.460048320231145,55.62997460090414,4
260.8118998839013,6.650307917278559,8
91.21,89.71,1
186.51005584932904,6.500147936580874,4
225.13000308663538,20.030003772926154,2
93.67999999999999,39.85999999999999,1
214.39000255907513,112.11000265315877,2
280.3598856449596,8.519964544472673,4
168.25002755105834,27.119988848381166,5
43.069994928313406,61.84002888971181,5
238.11999968600006,34.580000039,2
276.2982376555953,12.93894526718304,6
244.62999802368103,97.95000022527988,2
248.48000669202966,60.209997765922076,5
222.77999999999997,132.04999999999998,1
272.619993236455,4.620013560978012,3
263.0400009205778,13.74994760277245,8
284.949994729688,12.249977864689525,4
264.9399926555671,52.56999320837377,4
33.439994495326665,52.109993959812925,3
226.9299998036256,29.299999779182407,3
20.237173605236432,36.1265656151311,7
199.85,26.259999999999994,2
51.09999261688785,50.61998966651018,5
260.16996946681394,0.7900015224909572,8
165.05003891445676,11.03994427282365,5
252.80999978806585,63.94000015959219,2
7.929999909996989,52.28000016331675,3
258.300000001,39.650000407999954,2
188.22,103.65,2
144.96,68.97,1
220.73000224351833,57.06000040054313,1
190.86999837890298,16.989999764080146,2
219.84999926402304,105.38995510540377,2
100.33999999999999,48.440000000000005,2
267.712689552546,1.7805076257354822,6
255.61,138.70999999999998,2
36.539999703040024,31.420000482303948,2
12.089999999999998,119.41000000000001,2
41.9,28.809999999999988,2
270.180049044109,27.32001039151719,8
279.5899824278193,29.70004200695631,4
277.93965238624304,21.320287341424486,8
249.50999815086865,14.259992996029506,6
174.42999999999998,13.619999999999997,2
194.99999992209064,30.260000178939293,3
213.61999999999998,46.91,1
234.91999978369273,46.74999904749469,3
204.99000014009218,20.56999977267097,2
107.82000000000002,59.029999999999994,2
194.9199946713833,40.309997908728256,5
141.50000029466725,15.84000061930066,3
271.93273727884406,20.553123451869205,8
212.27000004515799,28.410000210907974,2
254.6599999059164,18.439997591458713,2
266.59999841213033,38.649951093614696,4
274.20508433303945,26.267551818773754,8
246.10999207598744,52.689986216987506,5
259.9500090251108,12.209997656963465,8
212.21,17.0,2
163.54,78.14,2
17.959998639390776,50.52999663341878,5
183.93999728849903,8.419988674620118,6
248.33000742999292,22.309998494931648,3
263.88028946394496,25.780130881220877,7
248.3299999602617,50.170000487728345,3
257.7599803396082,51.420001282686215,7
275.3402876770766,5.5431844882829715,6
167.7399992715486,22.429998170595194,3
203.32999999999996,52.84000000000001,2
240.0,46.01,1
262.71,45.76,2
155.66000000904504,22.8500000121745,3
270.88999777792117,36.610000255999864,1
248.34949465847632,9.435408137359564,4
15.990000262384898,39.63999999438535,3
220.1600023511988,24.090000184275667,3
270.7291220392553,20.47037531853404,8
32.45999989736838,54.16999994201315,2
10.111838299144678,48.89365498175579,5
283.66000978939167,27.30999914380617,8
186.7800001075579,10.090017962161083,2
249.06000405888233,71.58999817432546,4
130.2400004556798,19.079998095360974,2
230.46,28.22,1
192.61999941324814,6.80000008601599,2
257.030063295307,9.000008456178078,3
267.88999999999993,61.199999999999996,2
154.03,97.08,2
277.9806103767935,12.988355813599226,6
23.030037047034345,61.109987662072456,5
45.13999989480261,66.54999980961836,2
188.53999239067628,26.530001139637378,4
196.4799969328731,32.90999881454609,4
264.6600039965776,9.03001074116218,8
273.28000836169724,33.32998676350325,4
207.7200003253515,16.139999479479602,2
26.70000559891155,44.47000447892217,7
271.7192463891462,14.215097332673857,8
261.952658278919,24.946056538112927,7
254.28564145959027,11.765853206999502,7
280.0864698589536,20.038802604473,8
260.73312974217566,3.0951180236621147,8
173.7400940189164,10.719975084858168,5
274.4787191196964,19.939819295461238,8
210.85999999999996,108.99999999999997,1
283.3099897336423,9.030009213397987,4
190.6,42.59,1
280.7500023570781,23.609994438188732,8
195.77999904256052,26.350000522239743,2
276.35999994066026,1.1600013174998631,3
107.83999968928107,47.39000004350066,3
198.41008102556017,31.539967328522202,4
248.07998996062665,61.91000967367602,4
286.58089342411773,36.52051216027703,8
213.1499999999999,32.52,2
39.709999039368306,66.43998147827341,3
273.6000043893062,10.249993310145015,7
228.77999965486163,45.990000099503206,3
269.61657002691345,30.431948934971302,5
280.77999982628694,42.01000043660035,3
286.2900648125401,24.4199860578876,4
280.26999829882317,13.729993104213637,5
232.43999939072026,104.08000044543974,3
165.57999988299997,15.270000021552642,2
288.7799999999999,45.039999999999985,2
274.4610390088489,23.541946386360465,8
31.049995502294315,22.61001840493463,4
153.62,36.27,2
264.82492414089165,7.214013099251874,6
257.0099977057847,56.93999865137344,3
263.7118300322604,15.391503613351492,8
16.900001105919433,47.91999893504055,2
283.5800503535634,20.77990057083542,5
264.34,0.029999999999999995,2
19.090027874903026,61.999981544354426,5
194.91000000619294,36.92000002544901,3
185.81999999999994,17.709999999999997,2
250.66000060848762,63.51999563550711,5
253.4699997521319,45.72000031341978,2
273.88000016030804,38.58999847570665,3
29.14000014215318,57.389999730847805,3
275.509917433612,9.099728815596432,5
277.4007115435394,29.086700098696184,8
234.98,34.97,1
257.3299738767758,18.44003150740176,4
264.8867418807497,4.802823848498085,8
219.68,36.85999999999999,1
15.640000239131671,55.04000007235529,2
282.1499993832009,14.170001039969687,2
36.74000950558594,42.75002381794514,4
242.35999807781957,10.579998480857439,3
217.02999484112868,114.23999709813485,3
38.920001222647265,50.35000043092155,2
261.2299966262072,19.690001480678884,6
281.2200208553164,37.510008725800795,4
258.4021789454495,8.009559949606173,8
258.45454404282316,11.920608929262839,8
204.43999999999997,11.760000000000003,2
263.6600180291769,17.149936562793165,8
11.880019183820176,46.209989248628254,4
273.18000647101206,30.059996960449507,7
263.8700078673749,18.850004784963616,8
211.85000017700003,45.060000185,2
10.679999985649665,52.48999998406591,2
21.200001593010374,41.98999314837881,3
264.17999109984913,49.46998648184913,3
253.00000060606874,16.09999986459638,2
262.5500013132582,28.299997731616298,3
183.67000024932784,6.470000002633745,3
23.349996939096496,46.219987259252434,4
265.69191233065106,25.422317677302203,5
47.789999569006746,42.36000057070787,2
271.409999870426,18.789999022146937,8
277.52,4.240000000000001,2
17.36000001659401,58.33000002035591,2
259.8100193891137,7.349973246951544,8
261.3400167563024,22.069996884665983,4
262.0899988983916,6.389996236021229,8
31.400000559300004,38.6200012428889,3
280.2899912369026,27.410004474834547,4
28.678838165362492,45.79404397109872,7
267.6723008183018,19.528359514843917,8
265.7100448128621,2.960007700563962,5
283.14998208093914,12.109986748929824,2
34.09999962157404,49.46000028225141,2
179.15999927397687,16.0299994429796,3
286.6400001077645,20.90000000193925,3
273.1999953557823,27.18006460230364,8
247.75000027647982,7.329999247360384,3
287.2400004989895,11.590001829487566,2
28.519998714768473,52.14999978972586,3
233.61,44.66999999999999,2
13.770003895062867,21.81000246499148,2
11.559992501636623,37.47003484206443,6
31.970000025144742,55.99999990609205,2
